iter	Passed	Remaining
0	2	232
1	3	173
2	5	177
3	7	179
4	8	166
5	10	156
6	11	148
7	12	143
8	13	139
9	15	135
10	16	131
11	17	127
12	18	123
13	20	122
14	21	119
15	22	116
16	23	114
17	24	112
18	25	109
19	27	108
20	27	105
21	29	102
22	30	100
23	31	99
24	32	97
25	33	96
26	34	94
27	36	92
28	37	91
29	38	89
30	39	88
31	40	86
32	41	84
33	42	83
34	44	82
35	45	80
36	46	79
37	47	77
38	48	76
39	49	74
40	50	73
41	51	71
42	52	69
43	57	73
44	59	72
45	60	70
46	61	68
47	62	67
48	63	65
49	64	64
50	65	62
51	66	61
52	67	59
53	68	58
54	69	56
55	70	55
56	71	53
57	72	52
58	73	51
59	74	49
60	75	48
61	77	47
62	78	46
63	79	44
64	80	43
65	81	42
66	83	41
67	84	39
68	85	38
69	86	37
70	88	35
71	89	34
72	90	33
73	91	32
74	92	30
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	100	22
82	102	20
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	109	12
90	111	10
91	112	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	121	0
